ptl,etal,energyl,ptj,etaj,energyj,massj,mjj,rjj,rjl,met,n21_1,n21_2,n32_1,n32_2,infl,drfl
138.427,-1.12337,235.352,156.77,1.53985,382.831,18.4536,258.454,1.3521,3.69897,481.249,0.100328,0.27119,0.497462,0.562045,95.5049,1.11358
281.965,-0.488385,316.266,153.914,-0.781314,204.279,19.6534,66.5845,0.497735,3.12488,1022.63,0.183074,0.263376,0.34359,0.554796,206.127,2.43783
230.938,1.56445,576.102,105.918,0.786735,140.609,7.22082,71.3499,0.97637,0.822772,277.151,0.239309,0.391102,0.583232,0.710033,225.349,2.81982
136.09,0.507735,154.012,171.197,0.0296105,173.048,24.7218,142.634,0.834851,3.1231,488.677,0.202114,0.27464,0,0.648334,200.882,1.18986
119.182,-0.55808,138.228,358.887,1.09282,601.828,87.841,675.763,3.18506,2.0988,174.39,0.113269,0.266165,0,0.529735,218.59,2.76635
135.015,0.262074,139.678,188.94,1.02483,297.41,12.3322,83.1805,0.844503,3.17315,593.184,0.293272,0.540737,0.269982,0.399561,130.034,2.34553
125.771,-0.205213,128.428,129.905,1.1026,218.995,27.9717,72.8365,0.517439,1.36371,1345.94,0.373327,0.710859,0.491748,0.577019,227.582,2.64459
161.972,-1.96299,588.045,192.962,-0.991544,297.387,30.2081,81.7932,0.816066,0.975784,1311.68,0.423438,0.514397,0.4725,0.580544,129.514,1.10008
297.327,1.34367,608.626,234.495,1.296,461.303,25.8523,87.2718,0.579459,0.119519,1073.19,0.0986373,0.367395,0.468232,0.72492,141.666,1.2174
263.462,0.228754,270.385,233.992,-1.32353,472.38,40.287,253.616,1.76091,1.57704,1111.07,0,0.184673,0.61119,0.835782,549.865,2.98516
173.06,0.774576,227.623,94.4318,0.4968,106.903,11.0805,126.608,1.69049,2.71194,112.815,0.138669,0.31252,0.556787,0.6794,191.565,1.41185
123.149,-0.224465,126.264,317.875,-0.556416,377.658,83.2689,325.577,2.1759,0.472423,1583.46,0.257429,0.267729,0.368521,0.523229,141.551,1.82576
177.777,0.903136,255.344,118.379,-0.16135,123.061,27.613,94.2713,0.720963,3.26852,362.613,0.236151,0.321529,0.307571,0.534001,109.03,1.07165
121.405,-0.093367,121.935,105.89,-0.0316513,106.795,13.4645,76.3661,0.907209,2.64215,716.676,0.415806,0.430705,0.547427,0.763473,125.733,2.42383
132.42,1.78173,404.441,227.69,0.980715,346.692,17.5268,290.043,2.60758,0.834749,990.308,0.150724,0.489806,0,0.509857,142.943,1.03437
156.86,-1.00667,243.284,183.013,0.210435,187.449,11.7521,244.742,3.25989,1.31636,556.463,0.0721556,0.343988,0.304273,0.557267,276.263,2.95608
181.583,0.118766,182.865,120.19,0.54276,138.634,9.14839,115.252,1.97743,2.85977,1107.83,0.269724,0.550709,0.373236,0.533653,644.578,2.55102
163.842,1.9795,604.353,243.12,0.772889,319.756,14.6124,597.215,0.4895,2.9696,1192.47,0.392147,0.42266,0.295683,0.390722,150.577,1.73219
274.804,-1.29348,538.585,341.248,-0.437211,379.182,60.1134,326.254,1.13461,2.87022,276.655,0.426231,0.524688,0.335465,0.535962,545.103,0.586498
194.9,0.292393,203.291,214.753,-0.784167,285.651,28.4095,337.104,1.68315,3.11672,895.48,0.0565071,0.161257,0,0.417925,117.913,1.56226
116.963,-1.15698,204.379,103.439,0.509229,117.732,11.7657,220.145,2.29486,2.66103,207.433,0.00150139,0.0593904,0,0.37239,162.955,2.60022
180.853,0.832022,247.147,156.165,-1.12871,267.649,22.9832,92.6608,1.01851,3.35897,285.033,0,0.478881,0.496066,0.562066,138.263,2.19936
170.296,-0.623409,204.474,140.023,0.865414,197.143,22.8625,387.34,3.73452,3.21583,464.689,0.234944,0.478573,0,0.340192,282.701,3.6459
200.981,1.35847,416.763,193.089,1.31678,386.32,12.5027,163.217,1.46437,2.88551,422.174,0.281197,0.525185,0.568823,0.610752,747.492,2.74921
125.44,-0.314796,131.707,153.846,-1.12225,261.88,16.9565,92.3706,0.676118,2.91653,434.587,0.26779,0.69532,0.248274,0.376592,156.15,2.69381
122.809,1.17423,217.661,249.565,-0.0606027,252.111,32.3812,299.954,2.50845,3.33252,1233.12,0.245671,0.429619,0.145667,0.331707,471.184,2.85775
202.178,-1.46005,458.784,288.222,-1.67893,799.629,23.0341,467.519,2.45763,3.01246,1520.46,0.491921,0.574791,0.31302,0.364998,229.174,2.35265
180.623,-0.982966,275.141,154.381,-0.702385,198.288,40.7597,188.425,1.68374,2.57216,779.799,0.252219,0.450756,0.626367,0.662775,247.152,2.21581
484.307,-1.46984,1108.7,587.827,-1.16733,1043.07,121.868,462.394,1.54966,2.93197,2008.58,0.4028,0.538749,0.538888,0.638013,177.159,1.44659
358.068,1.01623,559.43,730.899,0.995223,1124.58,43.3275,724.059,2.0865,0.0518593,1935.31,0.00143024,0.389841,0,0.364321,374.827,2.67653
135.084,1.31537,269.797,132.345,0.00774419,132.78,10.6864,97.8983,2.3054,1.34157,110.29,0.119458,0.124967,0.461107,0.499626,166.892,2.11384
218.023,-0.874663,306.875,392.893,-0.119722,397.591,38.6082,443.46,2.33335,2.76866,97.3654,0.451013,0.543322,0.480811,0.60302,897.25,2.05842
160.519,-0.190301,163.435,148.792,-0.188018,151.595,7.08364,109.66,1.46912,3.00519,325.922,0,0.186102,0.439977,0.83494,156.838,2.04032
317.785,0.143022,321.041,551.479,-0.204992,569.322,83.8966,1501.74,3.76111,0.612048,1132.29,0.251729,0.72221,0.587373,0.657029,872.553,2.59668
143.066,-2.35894,763.559,303.991,-0.57599,362.115,67.1894,566.986,2.23255,2.4185,2328.61,0.1174,0.368311,0.300485,0.641489,421.975,2.82415
123.189,-2.01384,469.692,113.163,0.600836,134.548,9.52331,196.899,2.10664,3.55117,514.929,0.457808,0.628845,0.482778,0.648507,128.404,0.997479
388.9,-0.440264,427.203,547.933,0.624587,663.601,83.4786,795.049,1.10898,2.86969,248.682,0.144546,0.201813,0.573458,0.681283,477.11,2.83665
