ptl,etal,energyl,ptj,etaj,energyj,massj,mjj,rjj,rjl,met,n21_1,n21_2,n32_1,n32_2,infl,drfl
320.867,0.948842,476.473,563.223,-0.287326,587.975,39.7229,560.443,2.00208,3.03559,504.33,0.102027,0.131628,0.390148,0.509861,452.692,4.1126
232.943,0.198236,237.535,272.952,-1.9025,935.534,28.1352,341.65,1.78082,3.64107,523.28,0.231314,0.39134,0.0332828,0.304321,185.303,2.92791
175.266,0.0190422,175.298,151.611,1.10314,254.594,22.4366,157.348,1.05062,1.12206,1079,0.367354,0.657729,0.403625,0.496428,312.396,2.55238
174.021,0.0115544,174.032,225.08,-0.0538986,227.618,31.6516,523.67,3.29612,0.169115,782.517,0.362558,0.416966,0.484179,0.547079,128.087,1.52664
248.781,0.371065,266.105,365.094,0.398588,396.278,37.6885,585.079,1.54129,2.60692,883.357,0,0.373361,0.57564,0.747061,286.493,2.38597
125.401,-1.26044,238.92,214.871,-0.738235,276.315,10.1052,107.467,0.901732,2.92462,681.323,0.0419509,0.227528,0.550896,0.693606,168.522,1.0129
157.516,0.942297,232.777,551.583,0.00298931,559.064,91.138,380.955,2.53678,0.939615,1385.09,0.212422,0.487966,0.417866,0.442684,399.512,1.35436
204.036,0.540288,234.548,277.129,0.263335,287.457,19.5156,242.48,1.56081,0.446926,506.504,0.00151192,0.552528,0,0.498627,404.302,0.288534
476.841,-1.07165,777.878,698.874,-0.11795,716.949,136.984,840.687,1.9383,3.23639,1466.07,0,0.309924,0.28981,0.832866,504.94,2.90486
189.721,-0.946932,281.33,191.533,0.55776,229.143,56.3521,142.643,1.33079,1.51872,252.512,0.125274,0.22409,0.413463,0.525905,170.189,2.42495
176.903,-0.532602,202.592,271.155,0.505098,309.822,45.3447,479.392,2.97952,1.45348,1304.88,0.00492623,0.12875,0,0.656712,534.687,2.26562
266.238,0.0580345,266.687,341.746,0.920687,497.622,22.4736,612.043,3.40463,2.51269,700.133,0.266285,0.382851,0.57863,0.589942,183.982,0.83376
201.55,-0.64627,245.125,166.96,-1.9361,591.263,25.7484,241.904,2.11687,2.72714,886.756,0.254868,0.468998,0.35856,0.458909,184.207,2.39227
152.782,-0.00132045,152.782,200.456,0.77667,268.441,48.5372,235.335,2.6769,2.7252,451.856,0.164284,0.18511,0.709641,0.863214,294.061,2.78657
156.156,1.1989,282.486,110.302,1.93946,391.759,14.1584,227.564,2.67131,0.890881,1014.7,0.568945,0.672016,0.69101,0.716079,199.863,2.29651
138.596,0.392262,149.396,129.839,-0.0511947,133.179,28.8853,221.165,2.05879,2.86077,1016.99,0,0.485243,0.361311,0.507887,720.18,1.55517
134.746,0.901079,193.252,503.235,-0.114115,508.395,43.6737,1050.86,1.30356,3.26193,442.091,0.206652,0.245324,0,0.590189,315.035,3.22704
198.698,1.15011,345.252,212.72,0.22495,220.599,32.9437,409.672,2.85562,1.1058,2110.04,0.312378,0.343215,0.220498,0.332743,448.023,1.92355
249.421,-0.0881116,250.39,165.383,0.0859693,168.894,31.1632,78.941,2.51352,3.10103,699.271,0.317168,0.465933,0.430977,0.568994,607.629,2.28537
142.749,0.208474,145.862,286.662,1.74927,850.788,52.999,370.108,1.89674,2.8448,1276.63,0.0575437,0.200726,0.0671907,0.383196,9.7985,0.0078309
327.309,-0.0454161,327.647,531.271,-0.423649,580.723,35.0527,939.033,2.57582,0.450297,562.704,0.128699,0.293133,0.140089,0.172912,227.437,1.97142
230.736,-1.31034,458.836,192.706,-1.47714,444.466,19.0178,190.959,1.13303,0.34743,592.684,0.271809,0.368168,0.343166,0.597729,188.319,1.8059
230.338,-0.354885,244.995,190.685,-1.05618,307.473,10.2328,190.317,1.39723,2.42855,842.054,0,0.152376,0.146636,0.602617,478.511,0.170881
228.233,0.499936,257.354,366.07,0.198903,374.109,24.045,388.17,1.22244,2.89306,690.467,0.166265,0.31371,0.235506,0.406364,1058.97,1.92238
289.102,-1.80928,906.308,241.745,1.04958,388.359,24.5706,94.638,0.770742,4.18658,542.322,0.0896423,0.24604,0.347885,0.548126,189.012,2.07797
230.904,1.5622,574.833,448.733,1.2768,867.864,39.3371,333.742,1.71859,0.311743,1973.92,0.0885954,0.365774,0.470258,0.695235,228.858,2.28093
391.365,-1.60082,1009.49,322.269,-0.226831,332.467,35.2318,311.731,1.80147,1.37517,1477.69,0.241491,0.30061,0.609695,0.613141,364.84,2.54908
161.426,0.893194,230.215,314.795,0.834138,431.238,19.2357,249.483,1.28415,0.309243,1071.71,0.136161,0.306882,0.511466,0.788138,288.919,2.04009
129.911,1.34775,266.876,158.581,1.42534,349.138,14.0569,244.927,1.30618,1.54255,953.992,0.0715456,0.305329,0,0.492815,225.235,1.10346
133.148,1.79341,411.18,156.976,-0.355697,168.772,24.3158,367.845,2.32276,2.17981,318.522,0.384989,0.464378,0.104145,0.558173,515.24,1.00511
124.23,-1.07172,202.67,333.492,0.482475,376.346,49.5724,1114.16,2.69041,3.09631,2181.63,0.320241,0.335071,0.572648,0.606034,85.2349,1.22253
218.525,-1.05387,351.533,175.215,1.04036,279.491,18.119,316.537,1.85736,3.34841,456.553,0.0910416,0.217748,0.428032,0.556421,64.5789,2.60159
118.409,1.1023,197.932,151.647,-1.5584,376.343,9.85217,171.808,2.38254,3.91664,573.848,0.382407,0.831276,0.29919,0.561875,226.125,3.01198
144.638,-1.5514,356.535,189.366,0.85753,264.178,20.7242,128.829,0.725579,2.43554,251.546,0.177478,0.458073,0.521554,0.625119,53.2268,0.498829
143.988,-1.76789,434.065,136.631,0.909055,197.714,15.8027,200.602,2.05834,2.72085,133.07,0.269189,0.384786,0.61535,0.683277,721.156,1.96905
150.416,0.913461,217.658,160.646,-1.09208,266.447,7.20527,344.704,2.72002,3.30683,151.237,0,0.429141,0.329584,0.660555,148.081,1.57684
436.186,0.632173,526.287,422.727,0.0681131,433.092,89.6664,179.585,0.860463,0.566856,458.336,0.193151,0.292364,0.423921,0.897881,309.144,2.24748
134.623,0.952878,200.507,147.747,0.367713,158.811,17.4613,110.865,0.850067,0.682832,370.055,0.0721406,0.0916182,0.420896,0.425672,105.202,1.47447
